ts,node,s_temp_win_c,s_hum_win_pct,s_temp_out_c,s_hum_out_pct
1764308767.5326118,camera,IN_BED_LYING,0.8
1764308770.5215492,window,23.36,49.44,23.1,49.9
1764308777.5580997,camera,IN_BED_LYING,0.8
1764308780.5320106,window,23.36,49.45,23.0,49.7
1764308787.582553,camera,AWAKE_IN_ROOM,0.8
1764308790.5428982,window,23.37,49.42,23.1,49.5
1764308797.5903628,camera,AWAKE_IN_ROOM,0.8
1764308800.5503502,window,23.37,49.39,23.1,49.5
1764308807.6212356,camera,AWAKE_IN_ROOM,0.8
1764308810.5634873,window,23.38,49.35,23.0,49.3
1764308817.621801,camera,AWAKE_IN_ROOM,0.8
1764308820.5564742,window,23.38,49.3,23.0,49.2
1764308827.6474125,camera,AWAKE_IN_ROOM,0.8
1764308830.5649345,window,23.38,49.24,23.1,49.2
1764308837.6543336,camera,AWAKE_IN_ROOM,0.8
1764308840.5665789,window,23.38,49.19,23.1,49.1
1764308847.680887,camera,AWAKE_IN_ROOM,0.8
1764308850.5719464,window,23.39,49.16,23.1,49.2
1764308857.7111669,camera,AWAKE_IN_ROOM,0.8
1764308860.576898,window,23.39,49.12,23.0,49.0
1764308867.7241628,camera,AWAKE_IN_ROOM,0.8
1764308870.5850477,window,23.39,49.09,23.0,49.0
1764308877.7498484,camera,AWAKE_IN_ROOM,0.8
1764308880.5889802,window,23.39,49.05,23.1,48.9
1764308887.7776182,camera,AWAKE_IN_ROOM,0.8
1764308890.5964053,window,23.39,49.0,23.0,49.1
1764308897.7815545,camera,AWAKE_IN_ROOM,0.8
1764308900.6003277,window,23.39,49.0,23.0,49.3
1764308907.7851245,camera,AWAKE_IN_ROOM,0.8
1764308910.6083438,window,23.38,49.01,23.0,49.4
1764308917.8040605,camera,AWAKE_IN_ROOM,0.8
1764308920.6143079,window,23.38,49.03,23.0,49.3
1764308927.8055634,camera,AWAKE_IN_ROOM,0.8
1764308930.6185424,window,23.39,49.04,23.0,49.3
1764308937.8122702,camera,AWAKE_IN_ROOM,0.8
1764308940.6297023,window,23.39,49.03,23.0,49.3
1764308947.8411458,camera,AWAKE_IN_ROOM,0.8
1764308950.6309583,window,23.39,49.04,23.0,49.3
1764308957.848594,camera,AWAKE_IN_ROOM,0.8
1764308960.6412375,window,23.38,49.04,23.0,49.2
1764308967.873618,camera,AWAKE_IN_ROOM,0.8
1764308970.641617,window,23.38,49.0,23.1,49.1
1764308977.931717,camera,AWAKE_IN_ROOM,0.8
1764308980.64901,window,23.37,48.97,23.0,48.9
1764308987.9319062,camera,AWAKE_IN_ROOM,0.8
1764308990.648658,window,23.36,48.95,23.0,49.0
1764308997.939601,camera,AWAKE_IN_ROOM,0.8
1764309000.6562185,window,23.35,48.94,23.0,49.2
1764309007.9549813,camera,AWAKE_IN_ROOM,0.8
1764309010.6721761,window,23.35,48.95,23.0,49.2
